date,fund,ticker,weight
2021-01-04,Equity Min-Variance,ABBV,0.06771734967615914
2021-02-01,Equity Min-Variance,ABBV,0.06363230739035038
2021-03-01,Equity Min-Variance,ABBV,0.06457605776175256
2021-04-01,Equity Min-Variance,ABBV,0.043440677142255774
2021-05-03,Equity Min-Variance,ABBV,0.027694694187785546
2021-06-01,Equity Min-Variance,ABBV,0.02
2021-07-01,Equity Min-Variance,ABBV,0.02
2021-08-02,Equity Min-Variance,ABBV,0.02
2021-09-01,Equity Min-Variance,ABBV,0.02
2021-10-01,Equity Min-Variance,ABBV,0.02
2021-11-01,Equity Min-Variance,ABBV,0.02
2021-12-01,Equity Min-Variance,ABBV,0.02
2022-01-03,Equity Min-Variance,ABBV,0.02
2022-02-01,Equity Min-Variance,ABBV,0.02
2022-03-01,Equity Min-Variance,ABBV,0.02
2022-04-01,Equity Min-Variance,ABBV,0.02
2022-05-02,Equity Min-Variance,ABBV,0.02
2022-06-01,Equity Min-Variance,ABBV,0.02
2022-07-01,Equity Min-Variance,ABBV,0.02
2022-08-01,Equity Min-Variance,ABBV,0.02
2022-09-01,Equity Min-Variance,ABBV,0.02
2022-10-03,Equity Min-Variance,ABBV,0.02
2022-11-01,Equity Min-Variance,ABBV,0.02
2022-12-01,Equity Min-Variance,ABBV,0.02
2023-01-03,Equity Min-Variance,ABBV,0.02
2023-02-01,Equity Min-Variance,ABBV,0.02
2023-03-01,Equity Min-Variance,ABBV,0.02
2023-04-03,Equity Min-Variance,ABBV,0.02
2023-05-01,Equity Min-Variance,ABBV,0.02
2023-06-01,Equity Min-Variance,ABBV,0.02
2023-07-03,Equity Min-Variance,ABBV,0.02
2023-08-01,Equity Min-Variance,ABBV,0.02
2023-09-01,Equity Min-Variance,ABBV,0.02
2023-10-02,Equity Min-Variance,ABBV,0.02
2023-11-01,Equity Min-Variance,ABBV,0.02
2023-12-01,Equity Min-Variance,ABBV,0.02
2021-01-04,Equity Min-Variance,ABT,0.02289577536993191
2021-02-01,Equity Min-Variance,ABT,0.026238300984734033
2021-03-01,Equity Min-Variance,ABT,0.027819735882682845
2021-04-01,Equity Min-Variance,ABT,0.03809438985510645
2021-05-03,Equity Min-Variance,ABT,0.026396651027145265
2021-06-01,Equity Min-Variance,ABT,0.02
2021-07-01,Equity Min-Variance,ABT,0.02
2021-08-02,Equity Min-Variance,ABT,0.02
2021-09-01,Equity Min-Variance,ABT,0.02
2021-10-01,Equity Min-Variance,ABT,0.02
2021-11-01,Equity Min-Variance,ABT,0.02
2021-12-01,Equity Min-Variance,ABT,0.02
2022-01-03,Equity Min-Variance,ABT,0.02
2022-02-01,Equity Min-Variance,ABT,0.02
2022-03-01,Equity Min-Variance,ABT,0.02
2022-04-01,Equity Min-Variance,ABT,0.02
2022-05-02,Equity Min-Variance,ABT,0.02
2022-06-01,Equity Min-Variance,ABT,0.02
2022-07-01,Equity Min-Variance,ABT,0.02
2022-08-01,Equity Min-Variance,ABT,0.02
2022-09-01,Equity Min-Variance,ABT,0.02
2022-10-03,Equity Min-Variance,ABT,0.02
2022-11-01,Equity Min-Variance,ABT,0.02
2022-12-01,Equity Min-Variance,ABT,0.02
2023-01-03,Equity Min-Variance,ABT,0.02
2023-02-01,Equity Min-Variance,ABT,0.02
2023-03-01,Equity Min-Variance,ABT,0.02
2023-04-03,Equity Min-Variance,ABT,0.02
2023-05-01,Equity Min-Variance,ABT,0.02
2023-06-01,Equity Min-Variance,ABT,0.02
2023-07-03,Equity Min-Variance,ABT,0.02
2023-08-01,Equity Min-Variance,ABT,0.02
2023-09-01,Equity Min-Variance,ABT,0.02
2023-10-02,Equity Min-Variance,ABT,0.02
2023-11-01,Equity Min-Variance,ABT,0.02
2023-12-01,Equity Min-Variance,ABT,0.02
2021-01-04,Equity Min-Variance,ADBE,1.1292878922642027e-17
2021-02-01,Equity Min-Variance,ADBE,0.0
2021-03-01,Equity Min-Variance,ADBE,0.0
2021-04-01,Equity Min-Variance,ADBE,0.02123480056710128
2021-05-03,Equity Min-Variance,ADBE,0.025256351589905218
2021-06-01,Equity Min-Variance,ADBE,0.02
2021-07-01,Equity Min-Variance,ADBE,0.02
2021-08-02,Equity Min-Variance,ADBE,0.02
2021-09-01,Equity Min-Variance,ADBE,0.02
2021-10-01,Equity Min-Variance,ADBE,0.02
2021-11-01,Equity Min-Variance,ADBE,0.02
2021-12-01,Equity Min-Variance,ADBE,0.02
2022-01-03,Equity Min-Variance,ADBE,0.02
2022-02-01,Equity Min-Variance,ADBE,0.02
2022-03-01,Equity Min-Variance,ADBE,0.02
2022-04-01,Equity Min-Variance,ADBE,0.02
2022-05-02,Equity Min-Variance,ADBE,0.02
2022-06-01,Equity Min-Variance,ADBE,0.02
2022-07-01,Equity Min-Variance,ADBE,0.02
2022-08-01,Equity Min-Variance,ADBE,0.02
2022-09-01,Equity Min-Variance,ADBE,0.02
2022-10-03,Equity Min-Variance,ADBE,0.02
2022-11-01,Equity Min-Variance,ADBE,0.02
2022-12-01,Equity Min-Variance,ADBE,0.02
2023-01-03,Equity Min-Variance,ADBE,0.02
2023-02-01,Equity Min-Variance,ADBE,0.02
2023-03-01,Equity Min-Variance,ADBE,0.02
2023-04-03,Equity Min-Variance,ADBE,0.02
2023-05-01,Equity Min-Variance,ADBE,0.02
2023-06-01,Equity Min-Variance,ADBE,0.02
2023-07-03,Equity Min-Variance,ADBE,0.02
2023-08-01,Equity Min-Variance,ADBE,0.02
2023-09-01,Equity Min-Variance,ADBE,0.02
2023-10-02,Equity Min-Variance,ADBE,0.02
2023-11-01,Equity Min-Variance,ADBE,0.02
2023-12-01,Equity Min-Variance,ADBE,0.02
2021-01-04,Equity Min-Variance,AEP,0.04032375508095339
2021-02-01,Equity Min-Variance,AEP,0.04145547585591246
2021-03-01,Equity Min-Variance,AEP,0.04141775796603012
2021-04-01,Equity Min-Variance,AEP,0.03128977008768597
2021-05-03,Equity Min-Variance,AEP,0.02792616571602405
2021-06-01,Equity Min-Variance,AEP,0.02
2021-07-01,Equity Min-Variance,AEP,0.02
2021-08-02,Equity Min-Variance,AEP,0.02
