fund,periods_per_year,annualised_return,annualised_volatility,sharpe_ratio,max_drawdown,avg_turnover,latest_max_weight,herfindahl_index,effective_n_holdings
Equity Equal-Weight,252,0.13214045520431228,0.16166197477746672,0.8173873626510388,-0.20321862626913634,0.0,0.02,0.020000000000000004,49.99999999999999
Equity Min-Variance,252,0.06213437221702582,0.1276067269957161,0.48692082055448177,-0.15392566254159412,0.15091208954806462,0.18796781326483666,0.10844149064385851,9.22156265155171
Equity Max-Sharpe,252,0.1069008215196364,0.1822799179994267,0.5864651613458188,-0.26118167635646805,0.34155510883312457,0.5038027940788644,0.3196483459449233,3.128437899604536
Equity Risk-Parity,252,0.10553927438142136,0.14583757331958858,0.7236768411535655,-0.18532144361714498,0.020372795377761106,0.041595671458318675,0.022440526737080968,44.56223384220252
Equity Mean-CVaR,252,0.03129686313736551,0.13686707602175308,0.22866611932581446,-0.1703795867793364,0.3349964583279137,0.18732405882759043,0.10987066372473929,9.101610621970172
Crypto Equal-Weight,365,0.7494506956673274,0.8095162458516274,0.925800685913215,-0.8159730614257942,0.0,0.1,0.10000000000000003,9.999999999999996
Crypto Min-Variance,365,0.8196808967110499,0.6526199964292372,1.2559849547912634,-0.7234268514221525,0.1306704905782205,0.5645659971776918,0.4739493318780659,2.1099301818559635
Crypto Max-Sharpe,365,0.22110177357409327,0.7729943715629286,0.2860328376350844,-0.892752034490678,0.3253847658036868,0.8208314174759832,0.6977391037103229,1.4332004536973255
Crypto Risk-Parity,365,0.7705607281846428,0.7872891541981445,0.9787518652780889,-0.7953231770935393,0.017726902615773338,0.18820812213857777,0.1137565609003611,8.790701758959607
Crypto Mean-CVaR,365,0.5455689681267739,0.6500223228846775,0.8393080497691846,-0.7647754560010609,0.1304424360084034,0.6127260845927163,0.5254143402952085,1.9032598147932953
Combined Equal-Weight,252,0.16220965273060803,0.21251687241172795,0.7632789382310537,-0.28746987990265427,0.0,0.016666666666666666,0.016666666666666663,60.000000000000014
Combined Min-Variance,252,0.06895520267455629,0.13376716579851095,0.5154867583755287,-0.1556749672856873,0.17486353752761472,0.18490208787044002,0.1039374284456604,9.621173190010284
Combined Max-Sharpe,252,0.2584388911194528,0.24673896085658564,1.0474182521570543,-0.26308322252082716,0.3685537106962572,0.45324500139565993,0.26636082208824574,3.7543058778693004
Combined Risk-Parity,252,0.14360223561956403,0.16020157168348573,0.8963846865577735,-0.198368994196377,0.022482103571925167,0.03805852600186597,0.01957835034384065,51.07682631262138
Combined Mean-CVaR,252,0.047218351652875565,0.15083777243736643,0.3130406322626013,-0.18071190962445283,0.3510131402345011,0.2106575162802438,0.10976272985516042,9.110560582080728
Equity Max-Sharpe + Sentiment Tilt,252,0.10676845775049454,0.18280340114361388,0.5840616590421924,-0.26477770417004376,0.3452885619267543,0.5235392690359555,0.3355406856059151,2.9802645190231187
